"0xd00000","Array Pointer"
"0x0","0xffffffff"
"0x1","0x10000000"
"0x2","0xffffffff"
"0x3","0x0"
"0x4","0xbfffffff"
"0x5","0x0"
"0x6","0xfff7ffdf"
"0x7","0x0"
"0x8","0xfffdffff"
"0x9","0x400000"
"0xa","0xffffffff"
"0xb","0x0"
"0xc","0xfff9ffff"
"0xd","0x0"
"0xe","0xffbfffff"
"0xf","0x0"
"0x10","0xffffdffb"
"0x11","0x0"
"0x12","0xffffffff"
"0x13","0x0"
"0x14","0xffffffbf"
"0x15","0x0"
"0x16","0x9bffffff"
"0x17","0x0"
"0x18","0xffffffff"
"0x19","0x800000"
"0x1a","0xfffffff7"
"0x1b","0x0"
"0x1c","0xfffd7fde"
"0x1d","0x0"
"0x1e","0xff7bfffe"
"0x1f","0x0"
"0x20","0xffffffff"
"0x21","0x2400000"
"0x22","0xfffffbff"
"0x23","0x0"
"0x24","0xffffffff"
"0x25","0x0"
"0x26","0xfb9effff"
"0x27","0x0"
"0x28","0xffffbfff"
"0x29","0x0"
"0x2a","0xff7bdfff"
"0x2b","0x0"
"0x2c","0xff7fffff"
"0x2d","0x0"
"0x2e","0xffcfffff"
"0x2f","0x0"
"0x30","0xfdffffff"
"0x31","0x4000000"
"0x32","0xfffdffff"
"0x33","0x0"
"0x34","0xefffffff"
"0x35","0x0"
"0x36","0xfd77ffff"
"0x37","0x0"
"0x38","0xfffff9bf"
"0x39","0x840000"
"0x3a","0xfffffbff"
"0x3b","0x0"
"0x3c","0xfff7ffff"
"0x3d","0x0"
"0x3e","0xbffffeff"
"0x3f","0x0"
"0x40","0xffffffff"
"0x41","0x0"
"0x42","0xfef7ffff"
"0x43","0x0"
"0x44","0xffefffff"
"0x45","0x0"
"0x46","0xbfffffff"
"0x47","0x0"
"0x48","0xffffffff"
"0x49","0x310000"
"0x4a","0xdf6dfff7"
"0x4b","0x0"
"0x4c","0xfff6f7ff"
"0x4d","0x0"
"0x4e","0xcff7ffff"
"0x4f","0x0"
"0x50","0xffffffff"
"0x51","0x400000"
"0x52","0xfffff7ff"
"0x53","0x0"
"0x54","0xb7f3ffff"
"0x55","0x0"
"0x56","0xfdffffff"
"0x57","0x0"
"0x58","0xffffffff"
"0x59","0x200000"
"0x5a","0xafbfffff"
"0x5b","0x0"
"0x5c","0xe6fbffff"
"0x5d","0x0"
"0x5e","0xfbffffff"
"0x5f","0x0"
"0x60","0xfeffffff"
"0x61","0x0"
"0x62","0xffbfbfdf"
"0x63","0x0"
"0x64","0xff7fffff"
"0x65","0x0"
"0x66","0xfcbbffdf"
"0x67","0x0"
"0x68","0xffffffff"
"0x69","0x2c000040"
"0x6a","0xfdb7ffff"
"0x6b","0x0"
"0x6c","0xfebfffff"
"0x6d","0x0"
"0x6e","0xffffffff"
"0x6f","0x0"
"0x70","0xfffdffff"
"0x71","0x0"
"0x72","0xefa7ffff"
"0x73","0x0"
"0x74","0xffdeddff"
"0x75","0x0"
"0x76","0xbe7ffffb"
"0x77","0x0"
"0x78","0xf7fdffff"
"0x79","0x0"
"0x7a","0xfeffffef"
"0x7b","0x0"
"0x7c","0xdefeffff"
"0x7d","0x0"
"0x7e","0x66eeffff"
"0x7f","0x0"
"0x80","0xffefffff"
"0x81","0x0"
"0x82","0xfffffffd"
"0x83","0x0"
"0x84","0xffefffff"
"0x85","0x0"
"0x86","0xffffffff"
"0x87","0x0"
"0x88","0xffffffff"
"0x89","0x0"
"0x8a","0xffdfffbf"
"0x8b","0x0"
"0x8c","0xffffffff"
"0x8d","0x0"
"0x8e","0xfff7ffff"
"0x8f","0x0"
"0x90","0xff7fffff"
"0x91","0x0"
"0x92","0xff7fffff"
"0x93","0x0"
"0x94","0xffffffbf"
"0x95","0x0"
"0x96","0xefffffff"
"0x97","0x0"
"0x98","0xeffffeff"
"0x99","0x0"
"0x9a","0xfff7fff7"
"0x9b","0x0"
"0x9c","0xffffffff"
"0x9d","0x0"
"0x9e","0xffffffff"
"0x9f","0x0"
"0xa0","0xffefefdf"
"0xa1","0x0"
"0xa2","0xff7fffff"
"0xa3","0x0"
"0xa4","0xffbfffff"
"0xa5","0x0"
"0xa6","0xfbbbffff"
"0xa7","0x0"
"0xa8","0xff7fdfff"
"0xa9","0x0"
"0xaa","0xfffbffff"
"0xab","0x0"
"0xac","0xbeffffff"
"0xad","0x0"
"0xae","0xffffffff"
"0xaf","0x0"
"0xb0","0xd7fffffd"
"0xb1","0x0"
"0xb2","0xffffffff"
"0xb3","0x0"
"0xb4","0xfeffffff"
"0xb5","0x0"
"0xb6","0xfff3ffff"
"0xb7","0x0"
"0xb8","0xffffdfff"
"0xb9","0x0"
"0xba","0xfff7ffff"
"0xbb","0x0"
"0xbc","0xfdfeffff"
"0xbd","0x0"
"0xbe","0xfdffffff"
"0xbf","0x0"
"0xc0","0xfb7fffff"
"0xc1","0x80"
"0xc2","0xffffffff"
"0xc3","0x0"
"0xc4","0xfffffffd"
"0xc5","0x0"
"0xc6","0xfff7ffff"
"0xc7","0x8000"
"0xc8","0xfffffbbf"
"0xc9","0x0"
"0xca","0xffdfffff"
"0xcb","0x0"
"0xcc","0xfffbffff"
"0xcd","0x0"
"0xce","0xfdfbffff"
"0xcf","0x0"
"0xd0","0xfeffffff"
"0xd1","0x0"
"0xd2","0xefffffff"
"0xd3","0x0"
"0xd4","0xffbfdfff"
"0xd5","0x0"
"0xd6","0xffffffff"
"0xd7","0x0"
"0xd8","0xff7effff"
"0xd9","0x0"
"0xda","0xfefffffd"
"0xdb","0x0"
"0xdc","0xeffffdff"
"0xdd","0x0"
"0xde","0xfffdf67f"
"0xdf","0x0"
"0xe0","0xffffffff"
"0xe1","0x0"
"0xe2","0xffffffff"
"0xe3","0x0"
"0xe4","0xfffdffff"
"0xe5","0x2"
"0xe6","0xffffffff"
"0xe7","0x0"
"0xe8","0xffff3fff"
"0xe9","0x0"
"0xea","0xffbeffff"
"0xeb","0x0"
"0xec","0xeffffffb"
"0xed","0x0"
"0xee","0xdf77dfff"
"0xef","0x0"
"0xf0","0xfff7fffc"
"0xf1","0x0"
"0xf2","0xffff7fff"
"0xf3","0x0"
"0xf4","0xff6b7fff"
"0xf5","0x0"
"0xf6","0xeffdf7ff"
"0xf7","0x0"
"0xf8","0xfdffffef"
"0xf9","0x0"
"0xfa","0xbfa7ffff"
"0xfb","0x0"
"0xfc","0xffbbffff"
"0xfd","0x0"
"0xfe","0xbfffffff"
"0xff","0x0"
